ts,executed,open,close
2024-01-01 20:00:00+00:00,BUY,43532.08203125,44150.7109375
2024-01-14 12:00:00+00:00,SELL,42816.33203125,42914.34765625
2024-01-27 20:00:00+00:00,BUY,41914.578125,42119.79296875
2024-02-23 08:00:00+00:00,SELL,50901.3125,51205.09765625
2024-03-07 00:00:00+00:00,BUY,66089.3359375,65875.015625
2024-03-19 16:00:00+00:00,SELL,63966.62890625,64539.8828125
2024-04-01 08:00:00+00:00,BUY,69643.4140625,69509.0
2024-04-14 00:00:00+00:00,SELL,64023.671875,63533.77734375
2024-05-05 00:00:00+00:00,BUY,63899.5859375,63241.83203125
2024-05-24 08:00:00+00:00,SELL,67145.0546875,67320.5546875
2024-06-06 00:00:00+00:00,BUY,71103.09375,71054.375
2024-06-18 16:00:00+00:00,SELL,64675.3828125,64511.13671875
