ts_utc,mode,symbol,pos,flips_30d,flips_365
2025-09-18T01:49:48.761291+00:00,paper,BTC/USDC,1.0,1,1
2025-09-18T01:55:05.928261+00:00,paper,BTC/USDC,0.0,2,2
2025-09-18T01:56:16.832142+00:00,paper,BTC/USDC,0.0,2,2
2025-09-18T02:05:36.844066+00:00,paper,BTC/USDC,0.0,2,2
2025-09-18T02:06:03.845858+00:00,paper,BTC/USDC,0.0,2,2
2025-09-18T02:08:18.160123+00:00,paper,BTC/USDC,0.0,2,2
2025-09-18T02:09:26.703196+00:00,paper,BTC/USDC,0.0,2,2
2025-09-18T02:12:08.455134+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T02:16:39.897670+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T02:28:53.781468+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T02:33:50.233101+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T02:35:20.847578+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T02:45:27.868014+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T02:47:00.158540+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T02:47:13.894920+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T02:49:14.376087+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T02:57:28.471338+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T03:04:30.727358+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T03:07:39.611480+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T03:08:36.817139+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T03:11:40.217643+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T12:00:20.921394+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T12:06:19.705920+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T12:07:53.851188+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T12:11:56.394698+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T12:18:14.482711+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T12:19:46.190021+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T15:03:52.681937+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T16:03:47.403564+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T16:17:39.960657+00:00,paper,BTC/USDC,1.0,3,3
2025-09-18T16:22:10.410060+00:00,paper,BTC/USDC,1.0,3,3
