entry_time,exit_time,side,exit_reason,entry,exit,pnl,tp,sl,atr_entry,conf_gap
2025-02-08 20:00:00+00:00,2025-02-09 00:00:00+00:00,SHORT,BE,96922.9317375,96932.62403067375,-30.101662561018152,92976.41058573384,96922.9317375,1605.2993770823493,0.36739020873600314
2025-02-12 20:00:00+00:00,2025-02-13 00:00:00+00:00,SHORT,SL,97190.998678125,97804.30738060879,-518.6384522420482,94164.51429863833,97794.52792781602,1238.606819469089,0.35753849656066655
2025-02-13 08:00:00+00:00,2025-02-13 12:00:00+00:00,SHORT,BE,96068.99370234375,96078.60060171399,-32.91516044329397,93452.39269113995,96068.99370234375,1191.9861952892086,0.19418453878909814
2025-02-13 20:00:00+00:00,2025-02-14 00:00:00+00:00,SHORT,SL,95622.24150703126,96208.00148302777,-516.9540299551353,92800.85476012815,96198.38164486329,1164.0273975447853,0.3446149509012857
2025-02-14 08:00:00+00:00,2025-02-14 12:00:00+00:00,SHORT,BE,96949.4290875,96959.12403040876,-41.5961193401201,94512.51662320508,96949.4290875,1043.9311213897206,0.2857640476033213
2025-02-18 12:00:00+00:00,2025-02-18 16:00:00+00:00,SHORT,SL,97492.61695078124,94998.31891093691,2176.5390593931425,94703.28450328561,94988.82002893402,1127.125913524295,0.3781119212070463
2025-02-18 16:00:00+00:00,2025-02-18 20:00:00+00:00,SHORT,TRAIL,95504.11269609375,94700.39567738297,766.1086277380055,93370.0203911419,94690.9265847245,914.3448819460687,0.2855344827597339
2025-02-19 16:00:00+00:00,2025-02-19 20:00:00+00:00,SHORT,SL,95919.71175703125,96460.93085627613,-532.8874012104434,93753.34323355524,96451.28572770336,955.5624091546323,0.2415220984008417
2025-02-21 20:00:00+00:00,2025-02-22 00:00:00+00:00,SHORT,SL,95256.1765546875,95920.71814623893,-521.5899273021334,92737.19338694192,95911.12703353558,1136.6232456859002,0.2080255810742381
2025-02-25 00:00:00+00:00,2025-02-25 04:00:00+00:00,SHORT,SL,91486.9910109375,89902.9326414376,1244.3367047463994,88971.85868823978,89893.94324711288,1098.5699532949172,0.256223898261016
2025-02-25 08:00:00+00:00,2025-02-25 12:00:00+00:00,SHORT,SL,89257.729584375,88115.74664391176,561.3036387919751,86536.80562146423,88106.93595031672,1406.187509154801,0.02300345287699357
2025-02-27 20:00:00+00:00,2025-02-28 00:00:00+00:00,LONG,SL,84019.932403125,83108.1627438722,-708.1225719372835,88385.27676315432,83116.47439131133,1809.3579731939947,0.3372685900275074
2025-03-04 08:00:00+00:00,2025-03-04 12:00:00+00:00,LONG,BE,83143.6885375,83135.37416864625,-21.33277585131333,88273.85067327989,83143.6885375,2298.2057288252713,0.218583350021247
2025-03-04 20:00:00+00:00,2025-03-05 00:00:00+00:00,LONG,SL,88231.68947421874,86493.26426961682,-688.9766671632358,93371.38799416937,86501.91446106293,2591.651236895635,0.054720541518931576
2025-03-09 04:00:00+00:00,2025-03-09 08:00:00+00:00,LONG,SL,86188.65706640625,85015.48394531867,-691.988997067166,91167.03017464517,85023.98634395306,2156.496467318748,0.2687808167471265
2025-03-10 12:00:00+00:00,2025-03-10 16:00:00+00:00,LONG,SL,83561.074021875,82443.3796810984,-687.6901212530327,88039.53063186951,82451.62484358276,1982.7042305540838,0.23602751105632222
2025-03-11 08:00:00+00:00,2025-03-11 12:00:00+00:00,LONG,TRAIL,78590.014465625,79868.97666928325,831.0765409538826,83670.05988825407,79876.96436571982,2061.762196780183,0.3710090337701588
2025-03-13 00:00:00+00:00,2025-03-13 04:00:00+00:00,LONG,BE,82917.1190078125,82908.82729591172,-25.049911789801627,86920.48622108849,82917.1190078125,1846.438819150163,0.17641835296375802
2025-03-16 16:00:00+00:00,2025-03-16 20:00:00+00:00,LONG,TRAIL,83331.87141640625,83586.93868003589,227.0839074016789,85921.0802338461,83595.29820985688,1150.7955401431318,0.2302167667133867
2025-03-19 16:00:00+00:00,2025-03-19 20:00:00+00:00,LONG,TRAIL,84747.18480859375,85866.7411419545,1002.1118267568107,87061.91533055755,85875.32867482198,1126.6557001780104,0.10165430518582513
2025-03-21 08:00:00+00:00,2025-03-21 12:00:00+00:00,LONG,SL,83902.13156171875,83299.86584321629,-719.0674887207739,86376.50753976921,83308.19666288258,1082.2669187382103,0.2541381241014351
2025-03-22 16:00:00+00:00,2025-03-22 20:00:00+00:00,LONG,BE,83952.363146875,83943.96791056031,-44.856278349606654,86206.8995244351,83952.363146875,1043.63591534907,0.17123090533900354
2025-03-24 04:00:00+00:00,2025-03-24 08:00:00+00:00,LONG,TRAIL,86546.84913203125,87057.91438156443,738.3593981832747,88231.65396580541,87066.6210436688,754.7539563312056,0.2185901590156764
2025-03-24 16:00:00+00:00,2025-03-24 20:00:00+00:00,LONG,SL,88371.14873125,87815.07354560627,-725.6718818028334,90000.76555548262,87823.85593119939,820.9191462726527,0.05599503812267781
2025-03-31 08:00:00+00:00,2025-03-31 12:00:00+00:00,SHORT,SL,81881.99066953125,82467.71051095595,-519.5205441566357,80137.34906798166,82459.4645644995,873.010741979385,0.06474960403450003
2025-04-09 08:00:00+00:00,2025-04-09 12:00:00+00:00,LONG,SL,77681.82990625,76396.52204476754,-683.4001447729077,81221.27407162935,76404.16246101364,1844.6223719115926,0.012362271653709567
